"";"x"
"1068";"LOC105378378"
"1069";"TNNI3K"
"1070";"LOC105378805"
"1071";"LOC105378804"
"1072";"MIPOL1"
"1073";"LOC105376293"
"1074";"PRICKLE2"
"1075";"LOC105373727"
"1076";"LOC105376868"
"1077";"LINC01087"
"1078";"LOC105373766"
"1079";"LOC105373536"
"1080";"LOC101928241"
"1081";"LOC105378865"
"1082";"LOC105376406"
"1083";"LOC105374931"
"1084";"FMN2"
"1085";"LOC105369992"
"1086";"LOC105374588"
"1087";"LOC105369385"
"1088";"DGKB"
"1089";"RNA5SP181"
"1090";"FLRT2"
"1091";"LOC102724245"
"1092";"PTN"
"1093";"LOC105374764"
"1094";"MYLK-AS2"
"1095";"LINC01422"
"1096";"LOC105370317"
"1097";"VTCN1"
"1098";"SMIM21"
"1099";"LOC105374150"
"1100";"CASC17"
"1101";"LOC105379028"
"1102";"LOC105378352"
"1103";"FRMPD4"
"1104";"LOC105374978"
"1105";"ARNT2"
"1106";"SCARA5"
"1107";"LOC105371480"
"1108";"LOC105377688"
"1109";"LOC101928964"
"1110";"LOC101928955"
"1111";"LOC105372521"
"1112";"LOC102723896"
"1113";"SNRPGP9"
"1114";"LOC105377689"
"1115";"LOC101928383"
"1116";"SCRG1"
"1117";"ZFHX4-AS1"
"1118";"CNTNAP4"
"1119";"GNG12-AS1"
"1120";"MIR4636"
"1121";"KRTAP4-2"
"1122";"KRTAP4-1"
"1123";"RNA5SP365"
"1124";"GRIA3"
"1125";"LGR5"
"1126";"LOC105369833"
"1127";"ADAMTS3"
"1128";"LOC105375639"
"1129";"LOC101928658"
"1130";"LOC105377481"
"1131";"WISP2"
"1132";"LINC01081"
"1133";"LOC105377014"
"1134";"LOC101928015"
"1135";"LOC105370356"
"1136";"MYO16-AS1"
"1137";"CASC15"
"1138";"LINC00381"
"1139";"LOC105373118"
"1140";"LOC105376570"
"1141";"LOC105376210"
"1142";"ART4"
"1143";"PLAC9"
"1144";"LOC105369807"
"1145";"KSR2"
"1146";"POPDC3"
"1147";"LOC729856"
"1148";"GALNT13"
"1149";"LINC00536"
"1150";"USH2A"
"1151";"LOC105376402"
"1152";"MMP10"
"1153";"RIT2"
"1154";"LOC105374734"
"1155";"LOC101928286"
"1156";"PLP1"
"1157";"LCE1F"
"1158";"LCE1E"
"1159";"MIR6832"
"1160";"MMP12"
"1161";"LOC105369541"
"1162";"LOC105370610"
